,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
26830,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26833,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-03-31,2017-03-31,True,2017,4,12,3,2017,3,31,5,2017,3,31,5
26835,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,2017-03-31,2017-03-31,True,2017,4,12,3,2017,3,31,5,2017,3,31,5
26870,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26872,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26874,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26875,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26877,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26878,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26879,yusiang,2017-04-12,yusiang,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
29919,001415,2017-04-14,001415,ODS_PA_0590_P,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
29951,001415,2017-04-14,001415,ODS_PA_0590_P,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
